factor_id,factor_key,category,category_name,product_name,regret_type,display_name,description,anchor_terms,context_terms,negation_terms,weight,review_mentions
101,crema_quality,coffee_machine,커피머신,네스프레소 버츄오플러스,기능적 괴리,크레마/맛,크레마가 거품처럼 거칠고 커피 맛이 기대 이하,크레마|거품|맛|개구리알|뽀얗,라떼|아메리카노|추출|커피,고운|부드러운|진한,2.5,29
102,noise_loud,coffee_machine,커피머신,네스프레소 버츄오플러스,물리적 환경 부적합,소음,추출 시 기계 소음이 매우 큼,소음|시끄럽|끼익|우웅|소리,추출|작동|밤에|아침,조용|괜찮|참을만,2.2,17
103,price_regret,coffee_machine,커피머신,네스프레소 버츄오플러스,심리적 가성비,가격 후회,구매 후 더 싼 가격 발견 및 가성비 불만,후회|가격|비싸|돈아깝|쿠팡,라방|특가|할인,만족|잘샀,1.8,14
104,water_leak,coffee_machine,커피머신,네스프레소 버츄오플러스,관리의 피로도,누수/물샘,추출 중 물이 새거나 바닥이 젖음,새|물샘|누수|흘러|바닥,추출|사용중|밑으로,없음|문제없,2.0,6
105,temp_lukewarm,coffee_machine,커피머신,네스프레소 버츄오플러스,기능적 괴리,커피 온도,커피가 미지근하게 추출됨,미지근|안뜨거|따뜻한정도|온도,추출|컵|바로|김,뜨거운|펄펄,1.8,5
106,cleaning_hassle,coffee_machine,커피머신,네스프레소 버츄오플러스,관리의 피로도,세척 번거로움,물통 및 머신 세척의 불편함,세척|청소|닦|물통|귀찮,매일|관리|루틴,간편|쉬움,1.5,5
107,capsule_cost,coffee_machine,커피머신,네스프레소 버츄오플러스,심리적 가성비,캡슐 비용,버츄오 캡슐 가격이 비쌈,캡슐|비싸|비용|유지비,매일|소모품|구독,저렴|적당,1.5,5
108,capsule_compat,coffee_machine,커피머신,네스프레소 버츄오플러스,심리적 가성비,호환성 부족,타사 캡슐 호환 불가,호환|스타벅스|오리지널|전용,캡슐|종류|선택,충분|상관없,1.3,3
109,machine_defect,coffee_machine,커피머신,네스프레소 버츄오플러스,기능적 괴리,기계 오작동,기계가 됐다 안됐다 불안정,됐다|안됐다|오작동|고장,작동|기계|버튼,정상|잘됨,1.5,3
110,size_bulk,coffee_machine,커피머신,네스프레소 버츄오플러스,물리적 환경 부적합,크기/부피,머신이 뒤로 길어 공간 차지,길어|크다|공간|자리|부피,주방|선반|수납,적당|아담,1.2,2
201,cleaning_stain,induction,인덕션,쿠쿠 인덕션 3구,관리의 피로도,상판 관리,상판에 눌어붙거나 누렇게 변색,누렇게|얼룩|자국|눌어|세척,상판|흰색|국물|닦,깨끗|잘지워,2.5,28
202,noise_fan,induction,인덕션,쿠쿠 인덕션 3구,물리적 환경 부적합,팬/작동 소음,냉각팬 웅웅거리는 소리,소리|웅웅|팬소음|시끄,조리중|작동|냉각,조용|괜찮,2.0,20
203,heat_power,induction,인덕션,쿠쿠 인덕션 3구,기능적 괴리,화력/가열,가스레인지 대비 화력이 약함,화력|약하|안끓어|느려,가스|요리|끓이기,빠름|충분,1.8,15
204,temp_hot,induction,인덕션,쿠쿠 인덕션 3구,물리적 환경 부적합,발열,상판이나 주변이 뜨거움,뜨거|열|화상|조심,조리|상판|손,괜찮|적당,1.5,9
205,pot_recognition,induction,인덕션,쿠쿠 인덕션 3구,기능적 괴리,용기 인식,기존 냄비가 인식 안됨,냄비|인식|용기|안됨|안돼,기존|프라이팬|바꿔야,다됨|호환,1.8,6
206,space_fit,induction,인덕션,쿠쿠 인덕션 3구,물리적 환경 부적합,설치 공간,싱크대 사이즈 안맞음,싱크대|공간|사이즈|안맞,빌트인|타공|매립,딱맞|좋음,1.5,5
207,touch_issue,induction,인덕션,쿠쿠 인덕션 3구,기능적 괴리,터치 인식,물 묻으면 터치 안됨,터치|인식|안눌려|버튼,물묻은|조작|손,잘됨|민감,1.3,4
208,coil_whine,induction,인덕션,쿠쿠 인덕션 3구,물리적 환경 부적합,고주파음,찌르르 고주파 소음,고주파|찌잉|귀|거슬,작동|화력,안들림|적응,1.5,3
