factor_key,category,category_name,display_name,description,anchor_terms,context_terms,negation_terms,weight
water_control,electronics_coffee_machine,커피머신,물 조절 불가,물 추가량을 조절할 수 없어 아쉬운 요인,물|추가|조절|양|못|마음대로,커피|추출|내릴때,가능|조절|자유,1.0
coffee_delivery,electronics_coffee_machine,커피머신,배송,배송에 대한 불만 요인,배송,도착|포장|배송,좋|만족|괜찮|없,1.0
machine_durability,electronics_coffee_machine,커피머신,기계 내구성,고장이 잦거나 내구성에 대한 우려,고장|문제|오류|AS|수리|내구성,사용|개월|년|이후,튼튼|문제없|괜찮,1.3
coffee_size,electronics_coffee_machine,커피머신,크기/무게,크기/무게에 대한 불만 요인,크기|무게,공간|설치|보관,좋|만족|괜찮|없,1.0
foam_quality,electronics_coffee_machine,커피머신,거품 품질,크레마 거품이 너무 많거나 적어서 아쉬운 요인,거품|크레마|두껍|많|적,커피|라떼|추출,적당|좋|괜찮,0.8
machine_noise,electronics_coffee_machine,커피머신,작동 소음,커피 추출 시 소음이 크게 느껴지는 요인,소음|시끄럽|웅웅|돌아가|회전,추출|작동|내릴때,조용|괜찮|작,1.1
capsule_cost,electronics_coffee_machine,커피머신,캡슐 비용 부담,캡슐 가격이 비싸서 장기적으로 부담되는 요인,캡슐|비용|비싸|가격|비싼|부담,커피|매일|자주|한달,저렴|싸|괜찮,1.4
cleaning_hassle,electronics_coffee_machine,커피머신,청소 번거로움,캡슐 제거 및 청소가 귀찮게 느껴지는 요인,청소|세척|귀찮|관리|번거로,캡슐|머신|매일,쉽|간편|편하,1.0
coffee_assembly,electronics_coffee_machine,커피머신,조립,조립에 대한 불만 요인,조립,조립|설치|만들,좋|만족|괜찮|없,1.0
coffee_odor,electronics_coffee_machine,커피머신,냄새,냄새에 대한 불만 요인,냄새,개봉|사용|작동,좋|만족|괜찮|없,1.0
coffee_performance,electronics_coffee_machine,커피머신,성능,성능에 대한 불만 요인,성능,사용|효과|기능,좋|만족|괜찮|없,1.0
